,index,province,date,case,death,recovered,population,area (km^2),north border (latitude),south border (latitude),east border (longitude),west border (longitude)
134,40,BALI,8/5/2020,13,0,12,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
135,41,BALI,9/5/2020,6,0,2,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
136,42,BALI,10/5/2020,5,0,7,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
137,43,BALI,11/5/2020,3,0,6,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
138,44,BALI,12/5/2020,14,0,5,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
139,45,BALI,13-05-2020,4,0,5,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
140,46,BALI,14-05-2020,5,0,3,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
141,47,BALI,15-05-2020,6,0,9,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
142,48,BALI,16-05-2020,3,0,11,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
143,49,BALI,17-05-2020,2,0,6,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
144,50,BALI,18-05-2020,11,0,7,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
145,51,BALI,19-05-2020,4,0,10,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
146,52,BALI,20-05-2020,8,0,9,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
147,53,BALI,21-05-2020,3,0,4,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
148,54,BALI,22-05-2020,6,0,4,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
149,55,BALI,23-05-2020,8,0,3,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
150,56,BALI,24-05-2020,6,0,6,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
151,57,BALI,25-05-2020,2,0,2,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
152,58,BALI,26-05-2020,11,0,0,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
153,59,BALI,27-05-2020,8,0,7,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
